serialdata,SnCode,result,costrattime
,841033357460160,NG,2023-09-08 19:34:45.487140
,未识别到合适数据,NG,2023-09-08 20:02:56.992735
,C4073365697516278,NG,2023-09-11 14:38:49.308569
,C4073365697516278,NG,2023-09-11 14:40:45.876780
,C4073365697516278,NG,2023-09-11 14:43:44.564680
,未识别到合适数据,NG,2023-09-11 14:46:35.509826
C4073365697516278,未识别到合适数据,NG,2023-09-11 14:46:39.382076
,未识别到合适数据,NG,2023-09-11 14:46:41.150019
,C4073365697516278,NG,2023-09-11 14:51:27.664752
C4073365697516278,C4073365697516278,OK,2023-09-11 14:53:28.057730
C4073365697516278,C4073365697516278,OK,2023-09-11 14:54:56.504846
C4073365698316277,C4073365698316277,OK,2023-09-11 14:55:08.768437
C4073365697516278,C4073365697516278,OK,2023-09-11 14:55:14.689168
C4073365697516278,C4073365697516278,OK,2023-09-11 15:11:22.954485
C4073365698316277,C4073365698316277,OK,2023-09-11 15:11:43.878790
C4073365697516278,C4073365697516278,OK,2023-09-11 15:11:53.229415
C4073365698316277,C4073365698316277,OK,2023-09-11 15:12:00.589668
C4073365697516278,C4073365697516278,OK,2023-09-11 15:12:05.912183
C4073365698316277,C4073365698316277,OK,2023-09-11 15:12:10.960921
C4073365697516278,C4073365697516278,OK,2023-09-11 15:12:15.675218
C4073365698316277,C4073365698316277,OK,2023-09-11 15:12:23.095553
C4073365698316277,C4073365698316277,OK,2023-09-11 15:12:56.508877
C4073365697516278,C4073365697516278,OK,2023-09-11 15:13:16.952417
C4073365698316277,C4073365698316277,OK,2023-09-11 15:13:22.910037
C4073365697516278,C4073365697516278,OK,2023-09-11 15:13:27.410262
C4073365698316277,C4073365698316277,OK,2023-09-11 15:13:31.921561
C4073365697516278,C4073365697516278,OK,2023-09-11 15:13:36.340363
C4073365698316277,C4073365698316277,OK,2023-09-11 15:13:42.930178
C4073365697516278,C4073365697516278,OK,2023-09-11 15:13:47.372597
C4073365698316277,C4073365698316277,OK,2023-09-11 15:14:03.939630
C4073365697516278,C4073365697516278,OK,2023-09-11 15:14:13.706592
C4073365698316277,C4073365698316277,OK,2023-09-11 15:14:17.550059
C4073365697516278,C4073365697516278,OK,2023-09-11 15:14:21.446989
C4073365698316277,C4073365698316277,OK,2023-09-11 15:14:25.216027
,未识别到合适数据,NG,2023-09-11 15:21:21.896109
C4073365698316277,C4073365698316277,OK,2023-09-11 15:22:02.438594
C4073365697516278,C4073365697516278,OK,2023-09-11 15:22:08.358092
C4073365698316277,C4073365698316277,OK,2023-09-11 15:22:30.320690
C4073365697516278,C4073365697516278,OK,2023-09-11 15:22:34.776544
C4073365698316277,C4073365698316277,OK,2023-09-11 15:22:39.370446
C4073365697516278,C4073365697516278,OK,2023-09-11 15:23:46.139581
C4073365698316277,C4073365698316277,OK,2023-09-11 15:23:51.457259
C4073365697516278,C4073365697516278,OK,2023-09-11 15:23:56.045243
C4073365698316277,C4073365698316277,OK,2023-09-11 15:24:01.325992
C4073365697516278,C4073365697516278,OK,2023-09-11 15:24:10.905345
,C4073365697516278,NG,2023-09-11 15:24:34.793655
C4073365697516278,C4073365697516278,OK,2023-09-11 15:29:27.227865
C4073365697516278,C4073365697516278,OK,2023-09-11 15:31:29.226951
C4073365698316277,C4073365698316277,OK,2023-09-11 15:51:03.910097
C4073365698316277,C4073365698316277,OK,2023-09-11 15:59:19.690039
C4073365697516278,C4073365697516278,OK,2023-09-11 15:59:24.137475
C4073365698316277,C4073365698316277,OK,2023-09-11 15:59:28.043815
C4073365697516278,C4073365697516278,OK,2023-09-11 15:59:34.729909
C4073365698316277,C4073365698316277,OK,2023-09-11 15:59:39.265274
C4073365697516278,C4073365697516278,OK,2023-09-11 15:59:43.924313
C4073365698316277,C4073365698316277,OK,2023-09-11 15:59:48.307666
C4073365697516278,C4073365697516278,OK,2023-09-11 16:00:03.266018
C4073365698316277,C4073365698316277,OK,2023-09-11 16:00:07.950131
C4073365697516278,C4073365697516278,OK,2023-09-11 16:00:11.583016
C4073365698316277,C4073365698316277,OK,2023-09-11 16:00:19.512986
C4073365697516278,C4073365697516278,OK,2023-09-11 16:00:23.142209
C4073365698316277,C4073365698316277,OK,2023-09-11 16:00:26.975155
C4073365697516278,C4073365697516278,OK,2023-09-11 16:00:30.801422
C4073365698316277,C4073365698316277,OK,2023-09-11 16:00:35.100533
C4073365697516278,C4073365697516278,OK,2023-09-11 16:00:43.089444
A4073364562516298,A4073364562516298,OK,2023-09-11 16:44:11.986770
A4073364562516298,A4073364562516298,OK,2023-09-11 16:47:37.244784
C4073365698316277,C4073365698316277,OK,2023-09-11 16:47:43.244547
C4073365698316277,C4073365698316277,OK,2023-09-11 16:50:28.925109
A4073364562516298,A4073364562516298,OK,2023-09-11 16:50:34.225498
A4073364562516298,未识别到合适数据,NG,2023-09-11 16:59:18.763287
C4073365698316277,C4073365698316277,OK,2023-09-11 16:59:33.247790
A4073364562516298,A4073364562516298,OK,2023-09-11 16:59:39.079478
C4073365698316277,C4073365698316277,OK,2023-09-11 16:59:43.800789
A4073364562516298,A4073364562516298,OK,2023-09-11 16:59:48.451956
